25 25
0 0 true
0 1 true
0 2 true
0 3 true
0 4 true
0 5 true
0 6 true
0 7 true
0 8 true
0 9 true
0 10 true
0 11 false
0 12 true
0 13 true
0 14 true
0 15 true
0 16 true
0 17 true
0 18 true
0 19 true
0 20 true
0 21 true
0 22 true
0 23 true
0 24 true
1 0 true
1 1 true
1 2 false
1 3 false
1 4 false
1 5 false
1 6 false
1 7 false
1 8 false
1 9 false
1 10 false
1 11 false
1 12 false
1 13 true
1 14 false
1 15 false
1 16 false
1 17 true
1 18 false
1 19 false
1 20 false
1 21 true
1 22 false
1 23 true
1 24 true
2 0 true
2 1 true
2 2 true
2 3 true
2 4 true
2 5 true
2 6 false
2 7 true
2 8 true
2 9 true
2 10 true
2 11 false
2 12 true
2 13 true
2 14 false
2 15 true
2 16 false
2 17 true
2 18 false
2 19 true
2 20 true
2 21 true
2 22 false
2 23 true
2 24 true
3 0 true
3 1 true
3 2 false
3 3 false
3 4 false
3 5 false
3 6 false
3 7 false
3 8 false
3 9 false
3 10 false
3 11 true
3 12 false
3 13 true
3 14 false
3 15 true
3 16 false
3 17 false
3 18 false
3 19 false
3 20 false
3 21 true
3 22 false
3 23 true
3 24 true
4 0 true
4 1 true
4 2 true
4 3 true
4 4 false
4 5 true
4 6 false
4 7 true
4 8 true
4 9 true
4 10 false
4 11 true
4 12 false
4 13 true
4 14 true
4 15 true
4 16 false
4 17 true
4 18 true
4 19 true
4 20 true
4 21 true
4 22 false
4 23 true
4 24 true
5 0 true
5 1 true
5 2 false
5 3 false
5 4 false
5 5 true
5 6 false
5 7 true
5 8 false
5 9 true
5 10 false
5 11 false
5 12 false
5 13 true
5 14 false
5 15 false
5 16 false
5 17 false
5 18 false
5 19 false
5 20 false
5 21 true
5 22 false
5 23 true
5 24 true
6 0 true
6 1 true
6 2 false
6 3 true
6 4 true
6 5 true
6 6 false
6 7 true
6 8 false
6 9 true
6 10 false
6 11 true
6 12 true
6 13 true
6 14 true
6 15 true
6 16 false
6 17 true
6 18 true
6 19 true
6 20 true
6 21 true
6 22 false
6 23 true
6 24 true
7 0 true
7 1 true
7 2 false
7 3 true
7 4 false
7 5 false
7 6 false
7 7 false
7 8 false
7 9 true
7 10 false
7 11 true
7 12 false
7 13 false
7 14 false
7 15 false
7 16 false
7 17 false
7 18 false
7 19 false
7 20 false
7 21 true
7 22 false
7 23 true
7 24 true
8 0 true
8 1 true
8 2 true
8 3 true
8 4 false
8 5 true
8 6 false
8 7 true
8 8 true
8 9 true
8 10 true
8 11 true
8 12 false
8 13 true
8 14 false
8 15 true
8 16 false
8 17 true
8 18 true
8 19 true
8 20 true
8 21 true
8 22 false
8 23 true
8 24 true
9 0 true
9 1 true
9 2 false
9 3 true
9 4 false
9 5 true
9 6 false
9 7 true
9 8 false
9 9 true
9 10 false
9 11 false
9 12 false
9 13 true
9 14 false
9 15 true
9 16 false
9 17 false
9 18 false
9 19 true
9 20 false
9 21 true
9 22 false
9 23 true
9 24 true
10 0 true
10 1 true
10 2 false
10 3 true
10 4 true
10 5 true
10 6 false
10 7 true
10 8 false
10 9 true
10 10 true
10 11 true
10 12 true
10 13 true
10 14 false
10 15 true
10 16 true
10 17 true
10 18 true
10 19 true
10 20 false
10 21 true
10 22 false
10 23 true
10 24 true
11 0 true
11 1 true
11 2 false
11 3 false
11 4 false
11 5 false
11 6 false
11 7 true
11 8 false
11 9 false
11 10 false
11 11 false
11 12 false
11 13 false
11 14 false
11 15 false
11 16 false
11 17 true
11 18 false
11 19 true
11 20 false
11 21 false
11 22 false
11 23 true
11 24 true
12 0 true
12 1 true
12 2 false
12 3 true
12 4 true
12 5 true
12 6 false
12 7 true
12 8 true
12 9 true
12 10 true
12 11 true
