15 15
0 0 true
0 1 true
0 2 true
0 3 true
0 4 true
0 5 true
0 6 true
0 7 true
0 8 true
0 9 true
0 10 true
0 11 true
0 12 true
0 13 true
0 14 true
1 0 true
1 1 false
1 2 false
1 3 false
1 4 false
1 5 false
1 6 false
1 7 false
1 8 true
1 9 false
1 10 false
1 11 false
1 12 false
1 13 false
1 14 true
2 0 false
2 1 false
2 2 false
2 3 true
2 4 true
2 5 false
2 6 true
2 7 false
2 8 true
2 9 true
2 10 true
2 11 true
2 12 false
2 13 false
2 14 false
3 0 true
3 1 false
3 2 true
3 3 false
3 4 true
3 5 false
3 6 true
3 7 false
3 8 false
3 9 false
3 10 false
3 11 false
3 12 false
3 13 false
3 14 true
4 0 true
4 1 false
4 2 true
4 3 false
4 4 true
4 5 false
4 6 true
4 7 false
4 8 true
4 9 false
4 10 true
4 11 true
4 12 true
4 13 true
4 14 true
5 0 true
5 1 false
5 2 false
5 3 false
5 4 false
5 5 false
5 6 true
5 7 false
5 8 true
5 9 false
5 10 true
5 11 false
5 12 false
5 13 false
5 14 true
6 0 true
6 1 true
6 2 true
6 3 true
6 4 true
6 5 true
6 6 true
6 7 false
6 8 true
6 9 false
6 10 true
6 11 true
6 12 true
6 13 false
6 14 true
7 0 true
7 1 false
7 2 false
7 3 false
7 4 false
7 5 false
7 6 false
7 7 false
7 8 true
7 9 false
7 10 true
7 11 false
7 12 false
7 13 false
7 14 true
8 0 true
8 1 true
8 2 true
8 3 false
8 4 true
8 5 false
8 6 true
8 7 false
8 8 true
8 9 true
8 10 true
8 11 false
8 12 true
8 13 false
8 14 true
9 0 true
9 1 false
9 2 false
9 3 false
9 4 true
9 5 false
9 6 true
9 7 false
9 8 false
9 9 false
9 10 false
9 11 false
9 12 true
9 13 false
9 14 true
10 0 true
10 1 true
10 2 true
10 3 true
10 4 true
10 5 false
10 6 true
10 7 false
10 8 true
10 9 true
10 10 true
10 11 false
10 12 true
10 13 true
10 14 true
11 0 true
11 1 false
11 2 false
11 3 false
11 4 false
11 5 false
11 6 true
11 7 false
11 8 true
11 9 false
11 10 false
11 11 false
11 12 false
11 13 false
11 14 true
12 0 true
12 1 false
12 2 true
12 3 false
12 4 true
12 5 false
12 6 true
12 7 false
12 8 true
12 9 false
12 10 true
12 11 true
12 12 true
12 13 false
12 14 true
13 0 true
13 1 false
13 2 true
13 3 false
13 4 true
13 5 false
13 6 true
13 7 false
13 8 true
13 9 false
13 10 false
13 11 false
13 12 true
13 13 false
13 14 true
14 0 true
14 1 true
14 2 true
14 3 true
14 4 true
14 5 true
14 6 true
14 7 true
14 8 true
14 9 true
14 10 true
14 11 true
14 12 true
14 13 true
14 14 true
